question,answer
What are your opening hours?,Shizaye Multilinks branches are open Monday to Saturday from 8:00 AM to 6:00 PM. Branches are closed on Sundays and public holidays.
How do I register a new SIM card?,"To register a new SIM, bring your NIN (National Identification Number) to any Shizaye Multilinks branch. Registration costs 1,000 Naira and takes about 10 minutes."
How do I swap my SIM card?,"To swap your SIM (e.g. lost, damaged, or upgrading to a new SIM size), bring your NIN to any Shizaye Multilinks branch. A SIM swap costs 1,500 Naira."
Which networks do you support?,"We support all four major Nigerian networks: MTN, Airtel, Glo, and 9mobile -- for SIM registration, data plans, and airtime."
What MTN data plans do you offer?,"MTN plans start from 50 Naira for 100MB (daily) up to 1.5GB for 1,500 Naira (7 days) on short plans. Monthly options include 3.5GB for 2,500 Naira, 7GB for 3,500 Naira, and 20GB for 5,500 Naira. Prices may vary slightly at branch level -- ask staff for the current list."
What Airtel data plans do you offer?,"Airtel offers a 250MB night plan for 25 Naira (12am-5am). Weekly options include 1.5GB for 1,000 Naira and 10GB for 3,000 Naira. Monthly options include 3GB for 1,500 Naira, 10GB for around 3,060 Naira, and 20GB for 5,000 Naira. Prices may vary slightly at branch level -- ask staff for the current list."
What Glo data plans do you offer?,"Glo generally offers the most data per Naira. Daily/weekly options include 1GB for 200 Naira (24 hours) and 2.1GB for 500 Naira (7 days). Monthly options include 4.2GB for 1,000 Naira, 10GB for 2,000 Naira, and 32GB for 5,000 Naira. A 1TB mega plan is also available for 100,000 Naira, valid for 1 year. Prices may vary slightly at branch level -- ask staff for the current list."
What 9mobile data plans do you offer?,"9mobile daily options include 40MB for 100 Naira and 1GB for 300 Naira (24 hours). A weekly 7GB plan costs 1,500 Naira. Monthly options include 2GB for 1,000 Naira, 7GB for 2,500 Naira, and 12GB for 3,000 Naira. Prices may vary slightly at branch level -- ask staff for the current list."
Are there cheaper data deals available?,"Yes, personalized USSD deals (such as dialing star 121 hash on MTN) or vendor/app-based offers sometimes provide 10 to 20 percent discounts compared to standard listed prices. Ask branch staff about any active promotions."
Do you sell smartphones?,"Yes, we sell both new and UK-used smartphones from brands like Tecno, Infinix, Samsung, and iPhone. Please ask at any branch for current models and prices, as these change frequently with stock."
What is your phone warranty policy?,"New phones come with a 30-day warranty covering manufacturing defects. UK-used phones come with a 7-day warranty. Warranty does not cover physical damage or water damage."
Do you offer device repair services?,"Yes, we offer repair services for common issues like screen replacement, battery replacement, and charging port repair at select branches. Please ask at your nearest branch for current repair pricing, as it depends on the device model and part availability."
How can I recharge my phone remotely?,"You can recharge remotely via bank transfer to our account, followed by a WhatsApp message with your proof of payment and the number to be credited. Recharge is usually completed within 5 minutes."
Where are your branches located?,"We currently have 8 branches across Kaduna, Nigeria. Ask our support agent or check with us directly for the nearest branch to you."
Can I return a faulty device?,"Faulty devices can be returned within the warranty period for a replacement or repair. Please bring your original receipt when returning any item."
How do I check if my SIM registration was successful?,"You can dial star 121 hash on most networks to check your registration status, or ask a Shizaye Multilinks staff member to confirm at any branch."
